code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,TUS,Tusker,32,19,8,5,52,26,26,65
2,KCB,KCB,32,18,8,6,44,23,21,62
3,MTW,Bandari Mtwara,32,14,11,7,47,37,10,53
4,LEO,AFC Leopards,32,15,6,11,39,31,8,48
5,KAR,Kariobangi Sharks,32,14,6,12,45,42,3,48
6,KHB,Kakamega Homeboyz,32,14,4,14,45,39,6,46
7,GMA,Gor Mahia,32,14,6,12,34,29,5,45
8,NAI,Nairobi City Stars,32,12,9,11,34,30,4,45
9,WAZ,Wazito,32,12,9,11,30,33,-3,45
10,ULI,Ulinzi Stars,32,11,11,10,29,29,0,44
11,BID,Bidco United,32,10,14,8,28,28,0,44
12,SOF,Sofapaka,32,9,11,12,34,37,-3,38
13,PRF,CPosta Rangers,32,7,15,10,25,33,-8,36
14,NZO,Nzoia United,32,7,12,13,33,38,-5,33
15,MAT,Mathare United,32,8,6,18,33,47,-14,30
16,VIH,Vihiga United,32,6,8,18,20,43,-23,26
17,WST,Western Stima,32,4,10,18,31,58,-27,22
18,ZOO,Zoo Kericho FC,0,0,0,0,0,0,0,0
