code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,ADU,Aduana Stars,30,16,9,5,45,25,20,57
2,WAF,AWAFA,30,15,6,9,40,19,21,51
3,OAK,Hearts of Oak,30,13,9,8,42,33,9,48
4,EBU,Ebusua Dwarfs,30,12,8,10,39,33,6,44
5,ASA,Asante Kotoko,30,11,10,9,23,22,1,43
6,LEG,Legon Cities,30,11,9,10,36,32,4,42
7,MED,Medeama,30,11,9,10,35,32,3,42
8,BCH,Berekum Chelsea,30,12,6,12,37,35,2,42
9,ELM,Elmina Sharks,30,12,6,12,29,29,0,42
10,ASH,Ashanti Gold,30,12,5,13,38,36,2,41
11,LIB,Liberty Professionals,30,11,8,11,34,34,0,41
12,BEC,Bechem United,30,12,5,13,30,31,-1,41
13,INT,Inter Allies,30,10,10,10,24,26,-2,40
14,TAY,Tema Youth,30,10,7,13,30,33,-3,37
15,OLY,Great Olympics,30,9,9,12,27,32,-5,36
16,BAS,Bolga All Stars,30,2,6,22,21,78,-57,12
