code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,VIP,Vipers,25,16,6,3,38,15,23,54
2,KCC,KCCA,25,15,5,5,42,21,21,50
3,SCV,SC Villa,25,13,7,5,33,21,12,46
4,BUS,Busoga United,25,13,3,9,30,22,8,42
5,URA,URA,25,10,10,5,29,22,7,40
6,BUL,Bul FC,25,10,6,9,31,25,6,36
7,MBA,Mbarara,25,10,6,9,29,27,2,36
8,OND,Onduparaka,25,9,4,12,30,28,2,31
9,EXP,Express,25,9,4,12,30,37,-7,31
10,WAK,Wakiso Giants,25,8,6,11,24,27,-3,30
11,KYE,Kyetume,25,9,3,13,24,37,-13,30
12,BRS,Bright Stars,25,7,8,10,24,28,-4,29
13,POL,Police FC,25,8,4,13,33,37,-4,25
14,MAR,Maroons FC,25,6,6,13,26,41,-15,24
15,PRO,Proline,25,8,4,13,24,38,-14,22
16,TOO,Tooro United,25,6,4,15,18,39,-21,22
