code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,MSU,Mamelodi Sundowns,30,16,11,3,40,24,16,59
2,ORL,Orlando Pirates,30,15,12,3,44,24,20,57
3,BID,Bidvest Wits,30,16,6,8,45,29,16,54
4,CTF,Cape Town City,30,13,9,8,47,35,12,48
5,PFC,Polokwane City,30,11,11,8,38,35,3,44
6,SSU,SuperSport United,30,12,8,10,29,29,0,44
7,HPF,Highlands Park,30,9,14,7,35,32,3,41
8,CEL,Bloemfontein Celtic,30,11,7,12,35,37,-2,40
9,KAI,Kaizer Chiefs,30,9,12,9,33,29,4,39
10,ARR,Golden Arrows,30,8,12,10,27,31,-4,36
11,AMA,Amazulu,30,10,7,13,33,41,-8,31
12,CHI,Chippa United,30,7,9,14,27,35,-8,30
13,BLK,Black Leopards,30,7,9,14,30,46,-16,30
14,BAR,Baroka FC,30,6,11,13,27,37,-10,29
15,MAR,Maritzburg United,30,6,9,15,22,32,-10,27
16,FSS,Free State Stars,30,6,9,15,31,47,-16,27
