code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,ZES,Zesco United,34,22,5,7,54,26,28,71
2,ZAN,Zanaco,34,15,10,9,50,36,14,55
3,RED,Red Arrows,34,14,9,11,35,28,7,51
4,KAB,Kabwe Warriors,34,14,9,11,37,34,3,51
5,EAG,Green Eagles,34,12,14,8,39,30,9,50
6,PRI,Prison Leopards,34,13,9,12,40,33,7,48
7,LUS,Lusaka Dynamos,34,12,12,10,35,31,4,48
8,NKW,Nkwazi,34,12,12,10,30,28,2,48
9,BUF,Green Buffaloes,34,11,14,9,41,32,9,47
10,POW,Power Dynamos,34,12,11,11,29,26,3,47
11,BUI,Buildcon,34,13,7,14,42,44,-2,46
12,FOR,Forest Rangers,34,11,12,11,36,35,1,45
13,YGE,Young Green Eagles,34,10,13,11,26,37,-11,43
14,NKA,Nkana,34,12,6,16,41,49,-8,42
15,IND,Indeni,34,9,14,11,39,43,-4,41
16,NAP,NAPSA Stars,34,9,10,15,34,47,-13,37
17,LUM,Lumwana Radiants,34,7,12,15,23,42,-19,33
18,KIT,Kitwe United,34,3,11,20,15,45,-30,20
