code_number,code_letters,team_name,GP,W,D,L,F,A,GD,P
1,LOB,Lobi Stars,24,13,4,7,25,16,9,43
2,AKW,Akwa United,24,12,5,7,27,17,10,41
3,KAN,Kano Pillars,24,9,11,4,30,17,13,38
4,ENY,Enyimba,24,9,11,4,23,16,7,38
5,PLA,Plateau United,24,11,4,9,27,20,7,37
6,NGR,Niger Tornadoes,24,11,4,9,21,23,-2,37
7,KAT,Katsina United,24,11,3,10,28,22,6,36
8,ABI,Abia Warriors,24,8,10,6,20,16,4,34
9,RUF,Rivers United FC,24,9,7,8,22,22,0,34
10,RAN,Rangers International,24,8,9,7,19,15,4,33
11,MFM,MFM FC,24,10,3,11,22,24,-2,33
12,NAS,Nasarawa United,24,9,2,13,26,29,-3,29
13,EKW,El Kanemi Warriors,24,8,5,11,17,21,-4,29
14,WIK,Wikki Tourists,24,8,5,11,21,26,-5,29
15,KWA,Kwara United,24,7,8,9,21,28,-7,29
16,GRF,Go Round,24,8,5,11,16,23,-7,29
17,UBA,Ifeanyi Ubah FC,24,7,7,10,23,26,-3,28
18,SUN,Sunshine Stars,24,8,7,9,22,27,-5,28
19,YOB,Yobe Stars,24,8,4,12,20,30,-10,28
20,HEA,Heartland,24,5,8,11,15,27,-12,20
